UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,6681,2,-0.9490056305642061,-0.9454557957622972,0.27575771697218676,0.22607665678033798,-1.6990105183299484,0,0,0,0,0,0
2,963,1,-0.8988976458979234,-0.8779384029644384,-0.8253290070792955,0.6184190122505945,-1.65182361239839,0,0,0,0,0,0
3,964,1,-0.9490056305642061,-1.0129731885601951,-0.13233736257137005,0.9659222413813933,-1.6203656751106843,0,0,0,0,0,0
4,965,1,-0.8988976458979234,-0.9454557957622972,-0.6328313280493167,-0.14384613552018907,-1.5889077378229788,0,0,0,0,0,0
5,966,1,-0.8988976458979234,-0.8779384029644384,-0.8253290070792955,-0.08779722759586704,-1.5574498005352733,0,0,0,0,0,0
6,6682,2,-0.9490056305642061,-0.9454557957622972,-0.6944305853389096,0.12518862251655807,-1.5259918632475677,0,0,0,0,0,0
7,967,1,-0.9490056305642061,-0.9454557957622972,0.3296570671005794,0.18123753044088012,-1.4788049573160091,0,0,0,0,0,0
8,968,1,-0.9490056305642061,-0.9454557957622972,0.09095994510340696,-0.06537766442613753,-1.4473470200283038,0,0,0,0,0,0
9,6683,2,-0.8487896612316408,-0.8779384029644384,1.16894694767129,-1.3657123282704167,-1.4158890827405983,0,0,0,0,0,0
10,6684,2,-0.7485736918990755,-0.6753862245707838,1.7387400776000295,-1.432971017779604,-1.36870217680904,0,0,0,0,0,0
11,0,0,-0.7986816765653582,-0.7429036173686816,2.0544362712091964,-1.8925720627590474,-1.3215152708774813,0,0,0,0,0,0
12,1,0,-0.6984657072327601,-0.607868831772886,-0.7098303996613087,0.39422338055330525,-1.2428704276582174,0,0,0,0,0,0
13,6685,2,-0.6984657072327601,-0.607868831772886,-1.3566226012020393,1.15648852832409,-1.1642255844389535,0,0,0,0,0,0
14,6686,2,-0.6984657072327601,-0.5403514389750271,1.7464399847612284,-1.208775386082314,-1.1170386785073951,0,0,0,0,0,0
16,969,1,-0.6984657072327601,-0.5403514389750271,0.2064585525213937,0.8538244255327492,-1.0383938352881312,0,0,0,0,0,0
17,6687,2,-0.6984657072327601,-0.5403514389750271,-1.572220001715616,0.6520483570051888,-1.0069358980004257,0,0,0,0,0,0
18,6688,2,-0.6483577225665101,-0.5403514389750271,-0.8099291927568976,0.5399505411565436,-0.9597489920688674,0,0,0,0,0,0
19,2,0,-0.5982497379001948,-0.5403514389750271,-1.6107195375216121,1.5376211022094823,-0.9125620861373089,0,0,0,0,0,0
20,6689,2,-0.5481417532339449,-0.4728340461771293,0.8994501970293192,-0.9285308464607022,-0.833917242918045,0,0,0,0,0,0
21,3,0,-0.5481417532339449,-0.4728340461771293,-1.0794259433988682,0.21486687519547437,-0.7867303369864868,0,0,0,0,0,0
22,970,1,-0.5982497379001948,-0.4728340461771293,-0.5019329063089308,0.4502722884776273,-0.7080854937672229,0,0,0,0,0,0
23,6690,2,-0.5481417532339449,-0.4728340461771293,0.5067549318081627,-1.1303069149882632,-0.6766275564795173,0,0,0,0,0,0
24,971,1,-0.4980337685676295,-0.40531665337927036,1.8696384993404167,-1.690795994231487,-0.6294406505479587,0,0,0,0,0,0
25,6691,2,-0.4980337685676295,-0.40531665337927036,0.35275678858417875,-0.39046133038720787,-0.5979827132602533,0,0,0,0,0,0
26,972,1,-0.4980337685676295,-0.3377992605813726,2.662728936943931,-1.9598307522682339,-0.5507958073286948,0,0,0,0,0,0
27,973,1,-0.44792578390134685,-0.3377992605813726,-0.024538662314582266,-0.1998950434445117,-0.5193378700409894,0,0,0,0,0,0
28,4,0,-0.44792578390134685,-0.40531665337927036,2.277733578883971,-1.8141035916649957,-0.48787993275328384,0,0,0,0,0,0
29,974,1,-0.44792578390134685,-0.40531665337927036,-0.5866318850821218,0.38301359896844106,-0.4092350895340199,0,0,0,0,0,0
30,975,1,-0.4980337685676295,-0.40531665337927036,1.36914453386247,-1.1975656044974499,-0.3777771522463143,0,0,0,0,0,0
31,6692,2,-0.44792578390134685,-0.3377992605813726,-1.3566226012020393,0.8314048623630208,-0.3463192149586087,0,0,0,0,0,0
32,976,1,-0.4980337685676295,-0.40531665337927036,2.177634785788382,-1.713215557401216,-0.29913230902705035,0,0,0,0,0,0
33,977,1,-0.4980337685676295,-0.40531665337927036,-0.7406300283061046,0.8426146439478839,-0.2676743717393448,0,0,0,0,0,0
34,978,1,-0.5481417532339449,-0.4728340461771293,1.153547133348892,-0.9285308464607022,-0.23621643445163915,0,0,0,0,0,0
35,6693,2,-0.5982497379001948,-0.607868831772886,0.33735697426178085,-0.681915651593684,-0.20475849716393352,0,0,0,0,0,0
36,6694,2,-0.5982497379001948,-0.5403514389750271,-0.4865330919865317,0.8762439887024775,-0.1575715912323752,0,0,0,0,0,0
37,6695,2,-0.5481417532339449,-0.5403514389750271,0.5067549318081627,-0.4577200198963941,-0.1103846853008169,0,0,0,0,0,0
38,979,1,-0.5982497379001948,-0.607868831772886,-0.5866318850821218,-0.1774754802747822,-0.06319777936925859,0,0,0,0,0,0
