UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Machine failure
1,6681,2,0.3043478260869534,0.3580246913580324,0.5268225584594224,0.4840085287846481,0.0,0,0,0,0,0,0
2,963,1,0.315217391304344,0.3703703703703737,0.33012379642365897,0.55863539445629,0.01185770750988141,0,0,0,0,0,0
3,964,1,0.3043478260869534,0.345679012345684,0.45392022008253097,0.624733475479744,0.01976284584980237,0,0,0,0,0,0
4,965,1,0.315217391304344,0.3580246913580324,0.36451169188445665,0.41364605543710026,0.027667984189723327,0,0,0,0,0,0
5,966,1,0.315217391304344,0.3703703703703737,0.33012379642365897,0.42430703624733473,0.035573122529644285,0,0,0,0,0,0
6,6682,2,0.3043478260869534,0.3580246913580324,0.35350756533700145,0.464818763326226,0.043478260869565244,0,0,0,0,0,0
7,967,1,0.3043478260869534,0.3580246913580324,0.5364511691884455,0.4754797441364605,0.055335968379446654,0,0,0,0,0,0
8,968,1,0.3043478260869534,0.3580246913580324,0.4938101788170566,0.42857142857142866,0.06324110671936756,0,0,0,0,0,0
9,6683,2,0.3260869565217347,0.3703703703703737,0.6863823933975239,0.18123667377398717,0.07114624505928852,0,0,0,0,0,0
10,6684,2,0.34782608695651607,0.40740740740741177,0.7881705639614855,0.16844349680170567,0.08300395256916993,0,0,0,0,0,0
11,0,0,0.3369565217391254,0.39506172839506337,0.8445667125171941,0.08102345415778239,0.09486166007905145,0,0,0,0,0,0
12,1,0,0.35869565217391386,0.41975308641976017,0.3507565337001375,0.5159914712153517,0.11462450592885376,0,0,0,0,0,0
13,6685,2,0.35869565217391386,0.41975308641976017,0.23521320495185694,0.6609808102345417,0.13438735177865613,0,0,0,0,0,0
14,6686,2,0.35869565217391386,0.43209876543210146,0.7895460797799174,0.21108742004264394,0.14624505928853754,0,0,0,0,0,0
16,969,1,0.35869565217391386,0.43209876543210146,0.5144429160935351,0.6034115138592752,0.1660079051383399,0,0,0,0,0,0
17,6687,2,0.35869565217391386,0.43209876543210146,0.19669876203576342,0.5650319829424308,0.17391304347826086,0,0,0,0,0,0
18,6688,2,0.36956521739129744,0.43209876543210146,0.3328748280605227,0.5437100213219617,0.18577075098814227,0,0,0,0,0,0
19,2,0,0.38043478260869523,0.43209876543210146,0.18982118294360384,0.7334754797441366,0.19762845849802374,0,0,0,0,0,0
20,6689,2,0.3913043478260788,0.44444444444444986,0.6382393397524071,0.26439232409381663,0.21739130434782608,0,0,0,0,0,0
21,3,0,0.3913043478260788,0.44444444444444986,0.28473177441540587,0.4818763326226014,0.2292490118577075,0,0,0,0,0,0
22,970,1,0.38043478260869523,0.44444444444444986,0.38789546079779913,0.5266524520255863,0.24901185770750986,0,0,0,0,0,0
23,6690,2,0.3913043478260788,0.44444444444444986,0.5680880330123799,0.22601279317697223,0.2569169960474308,0,0,0,0,0,0
24,971,1,0.4021739130434766,0.45679012345679115,0.8115543328748283,0.11940298507462677,0.26877470355731226,0,0,0,0,0,0
25,6691,2,0.4021739130434766,0.45679012345679115,0.5405777166437415,0.3667377398720682,0.27667984189723316,0,0,0,0,0,0
26,972,1,0.4021739130434766,0.46913580246913955,0.953232462173315,0.06823027718550112,0.2885375494071146,0,0,0,0,0,0
27,973,1,0.4130434782608673,0.46913580246913955,0.4731774415405776,0.40298507462686567,0.2964426877470355,0,0,0,0,0,0
28,4,0,0.4130434782608673,0.45679012345679115,0.8844566712517192,0.09594882729211085,0.3043478260869565,0,0,0,0,0,0
29,974,1,0.4130434782608673,0.45679012345679115,0.3727647867950481,0.5138592750533049,0.32411067193675885,0,0,0,0,0,0
30,975,1,0.4021739130434766,0.45679012345679115,0.7221458046767539,0.21321961620469077,0.3320158102766798,0,0,0,0,0,0
31,6692,2,0.4130434782608673,0.46913580246913955,0.23521320495185694,0.5991471215351815,0.33992094861660077,0,0,0,0,0,0
32,976,1,0.4021739130434766,0.45679012345679115,0.8665749656121045,0.11513859275053295,0.3517786561264822,0,0,0,0,0,0
33,977,1,0.4021739130434766,0.45679012345679115,0.34525447042641,0.6012793176972281,0.35968379446640314,0,0,0,0,0,0
34,978,1,0.3913043478260788,0.44444444444444986,0.6836313617606602,0.26439232409381663,0.3675889328063241,0,0,0,0,0,0
35,6693,2,0.38043478260869523,0.41975308641976017,0.5378266850068778,0.3113006396588486,0.37549407114624506,0,0,0,0,0,0
36,6694,2,0.38043478260869523,0.43209876543210146,0.3906464924346631,0.6076759061833689,0.38735177865612647,0,0,0,0,0,0
37,6695,2,0.3913043478260788,0.43209876543210146,0.5680880330123799,0.3539445628997869,0.3992094861660079,0,0,0,0,0,0
38,979,1,0.38043478260869523,0.41975308641976017,0.3727647867950481,0.4072494669509596,0.4110671936758893,0,0,0,0,0,0
39,5,0,0.3913043478260788,0.43209876543210146,0.29023383768913336,0.652452025586354,0.41897233201581024,0,0,0,0,0,0
40,980,1,0.38043478260869523,0.41975308641976017,0.25034387895460797,0.6908315565031983,0.4387351778656126,0,0,0,0,0,0
41,981,1,0.38043478260869523,0.41975308641976017,0.26685006877579087,0.5394456289978679,0.44664031620553357,0,0,0,0,0,0
42,982,1,0.38043478260869523,0.41975308641976017,0.2751031636863823,0.6545842217484009,0.45454545454545453,0,0,0,0,0,0
43,6696,2,0.38043478260869523,0.41975308641976017,0.2751031636863823,0.6183368869936036,0.4624505928853755,0,0,0,0,0,0
44,6,0,0.38043478260869523,0.43209876543210146,0.28060522696011003,0.605543710021322,0.4743083003952569,0,0,0,0,0,0
45,6697,2,0.38043478260869523,0.41975308641976017,0.4181568088033014,0.5842217484008527,0.49407114624505927,0,0,0,0,0,0
46,983,1,0.38043478260869523,0.41975308641976017,0.4415405777166437,0.6183368869936036,0.5059288537549407,0,0,0,0,0,0
47,6698,2,0.36956521739129744,0.40740740740741177,0.9284731774415405,0.12153518123667378,0.5138339920948616,0,0,0,0,0,0
48,984,1,0.38043478260869523,0.41975308641976017,0.3438789546079781,0.55863539445629,0.525691699604743,0,0,0,0,0,0
49,7,0,0.38043478260869523,0.43209876543210146,0.35350756533700145,0.7206823027718551,0.533596837944664,0,0,0,0,0,0
50,6699,2,0.3913043478260788,0.43209876543210146,0.33562585969738645,0.5117270788912581,0.5533596837944663,0,0,0,0,0,0
52,985,1,0.3913043478260788,0.41975308641976017,0.29573590096286106,0.742004264392324,0.5731225296442687,0,0,0,0,0,0
53,8,0,0.38043478260869523,0.40740740740741177,0.4525447042640991,0.5053304904051172,0.5810276679841897,0,0,0,0,0,0
54,986,1,0.36956521739129744,0.40740740740741177,0.546079779917469,0.31982942430703626,0.6007905138339921,0,0,0,0,0,0
55,987,1,0.36956521739129744,0.40740740740741177,0.7193947730398902,0.21321961620469077,0.608695652173913,0,0,0,0,0,0
56,988,1,0.38043478260869523,0.41975308641976017,0.4731774415405776,0.43923240938166314,0.616600790513834,0,0,0,0,0,0
57,989,1,0.38043478260869523,0.41975308641976017,0.4250343878954608,0.4754797441364605,0.6245059288537549,0,0,0,0,0,0
58,990,1,0.38043478260869523,0.41975308641976017,0.4745529573590095,0.4307036247334754,0.6324110671936758,0,0,0,0,0,0
59,6700,2,0.38043478260869523,0.40740740740741177,0.6781292984869327,0.20042643923240933,0.6403162055335968,0,0,0,0,0,0
60,991,1,0.38043478260869523,0.41975308641976017,0.2888583218707015,0.7313432835820896,0.6521739130434783,0,0,0,0,0,0
61,992,1,0.38043478260869523,0.41975308641976017,0.3094910591471802,0.6929637526652453,0.6600790513833992,0,0,0,0,0,0
62,6701,2,0.38043478260869523,0.40740740740741177,0.5832187070151309,0.38592750533049053,0.6679841897233201,0,0,0,0,0,0
63,993,1,0.38043478260869523,0.40740740740741177,0.9092159559834938,0.05970149253731333,0.6798418972332015,0,0,0,0,0,0
64,6702,2,0.3913043478260788,0.40740740740741177,0.8858321870701515,0.12366737739872063,0.6877470355731224,0,0,0,0,0,0
65,994,1,0.4021739130434766,0.41975308641976017,0.48830811554332865,0.39445628997867804,0.6996047430830039,0,0,0,0,0,0
66,995,1,0.4021739130434766,0.41975308641976017,0.3108665749656121,0.5330490405117272,0.7075098814229248,0,0,0,0,0,0
67,6703,2,0.3913043478260788,0.39506172839506337,0.7028885832187068,0.18336886993603407,0.7154150197628457,0,0,0,0,0,0
68,9,0,0.38043478260869523,0.39506172839506337,0.40990371389270974,0.5117270788912581,0.7272727272727273,0,0,0,0,0,0
69,996,1,0.38043478260869523,0.39506172839506337,0.4938101788170566,0.2622601279317697,0.7470355731225296,0,0,0,0,0,0
70,997,1,0.3913043478260788,0.40740740740741177,0.3328748280605227,0.9722814498933905,0.7549407114624506,0,0,1,1,0,1
72,998,1,0.3913043478260788,0.41975308641976017,0.3906464924346631,0.5415778251599148,0.7747035573122529,0,0,0,0,0,0
73,999,1,0.3913043478260788,0.41975308641976017,0.2764786795048144,0.5181236673773988,0.7826086956521738,0,0,0,0,0,0
74,1000,1,0.4021739130434766,0.41975308641976017,0.5832187070151309,0.3176972281449893,0.7905138339920948,0,0,0,0,0,0
75,1001,1,0.3913043478260788,0.40740740740741177,0.5955983493810177,0.2601279317697227,0.7984189723320158,0,0,0,0,0,0
76,1002,1,0.38043478260869523,0.39506172839506337,0.29023383768913336,0.5671641791044777,0.8063241106719367,0,0,0,0,0,0
77,1003,1,0.38043478260869523,0.39506172839506337,0.4030261348005504,0.5927505330490404,0.8142292490118577,0,0,0,0,0,0
78,1004,1,0.38043478260869523,0.39506172839506337,0.3947730398899587,0.45202558635394446,0.8221343873517786,1,0,0,0,0,1
79,1005,1,0.38043478260869523,0.39506172839506337,0.3163686382393398,0.6695095948827293,0.0,0,0,0,0,0,0
80,1006,1,0.38043478260869523,0.39506172839506337,0.3218707015130675,0.37953091684434964,0.007905138339920903,0,0,0,0,0,0
81,10,0,0.38043478260869523,0.3827160493827221,0.38101788170563955,0.6353944562899788,0.015810276679841917,0,0,0,0,0,0
82,1007,1,0.3913043478260788,0.39506172839506337,0.38789546079779913,0.5842217484008527,0.035573122529644285,0,0,0,0,0,0
83,1008,1,0.3913043478260788,0.39506172839506337,0.39202200825309497,0.44136460554371,0.043478260869565244,0,0,0,0,0,0
84,1009,1,0.4021739130434766,0.40740740740741177,0.41403026134800536,0.4264392324093817,0.05138339920948615,0,0,0,0,0,0
85,1010,1,0.3913043478260788,0.39506172839506337,0.3493810178817056,0.5863539445628999,0.059288537549407105,0,0,0,0,0,0
86,6704,2,0.4021739130434766,0.40740740740741177,0.8748280605226961,0.1428571428571428,0.06719367588932806,0,0,0,0,0,0
87,11,0,0.4021739130434766,0.40740740740741177,0.3686382393397525,0.5074626865671642,0.07905138339920947,0,0,0,0,0,0
88,1011,1,0.4021739130434766,0.40740740740741177,0.5171939477303988,0.24946695095948826,0.09881422924901179,0,0,0,0,0,0
89,6705,2,0.4021739130434766,0.40740740740741177,0.34525447042641,0.5351812366737742,0.1067193675889328,0,0,0,0,0,0
90,6706,2,0.3913043478260788,0.39506172839506337,0.43878954607977994,0.41364605543710026,0.11857707509881421,0,0,0,0,0,0
91,1012,1,0.3913043478260788,0.39506172839506337,0.8046767537826685,0.12153518123667378,0.13043478260869568,0,0,0,0,0,0
92,1013,1,0.3913043478260788,0.39506172839506337,0.9105914718019257,0.10234541577825146,0.13833992094861658,0,0,0,0,0,0
93,6707,2,0.3913043478260788,0.39506172839506337,0.7689133425034389,0.14925373134328357,0.14624505928853754,0,0,0,0,0,0
94,1014,1,0.4130434782608673,0.40740740740741177,0.38789546079779913,0.48827292110874204,0.15810276679841895,0,0,0,0,0,0
95,1015,1,0.4021739130434766,0.39506172839506337,0.6244841815680879,0.2515991471215351,0.1660079051383399,0,0,0,0,0,0
96,6708,2,0.4021739130434766,0.40740740740741177,0.25171939477303984,0.6844349680170577,0.17391304347826086,0,0,0,0,0,0
97,6709,2,0.4021739130434766,0.40740740740741177,0.5598349381017882,0.32409381663112996,0.18577075098814227,0,0,0,0,0,0
98,6710,2,0.3913043478260788,0.39506172839506337,0.8005502063273728,0.20895522388059695,0.19762845849802374,0,0,0,0,0,0
99,1016,1,0.3913043478260788,0.3827160493827221,0.4965612104539203,0.26865671641791045,0.20948616600790512,0,0,0,0,0,0
100,1017,1,0.38043478260869523,0.3827160493827221,0.48830811554332865,0.5181236673773988,0.21739130434782608,0,0,0,0,0,0
101,1018,1,0.38043478260869523,0.39506172839506337,0.9408528198074277,0.10447761194029848,0.225296442687747,0,0,0,0,0,0
103,1019,1,0.38043478260869523,0.3827160493827221,0.5323246217331499,0.4371002132196163,0.24110671936758893,0,0,0,0,0,0
104,6711,2,0.38043478260869523,0.3827160493827221,0.37551581843191206,0.4349680170575693,0.24901185770750986,0,0,0,0,0,0
105,1020,1,0.38043478260869523,0.3703703703703737,0.38789546079779913,0.49680170575692967,0.2608695652173913,0,0,0,0,0,0
106,1021,1,0.38043478260869523,0.3703703703703737,0.5818431911966986,0.23454157782515994,0.26877470355731226,0,0,0,0,0,0
107,1022,1,0.38043478260869523,0.3703703703703737,0.38101788170563955,0.605543710021322,0.27667984189723316,0,0,0,0,0,0
108,6712,2,0.38043478260869523,0.3827160493827221,0.4525447042640991,0.5692963752665245,0.2845849802371541,0,0,0,0,0,0
109,12,0,0.3913043478260788,0.3827160493827221,0.6231086657496561,0.26865671641791045,0.2964426877470355,0,0,0,0,0,0
110,1023,1,0.3913043478260788,0.3703703703703737,0.5557083906464926,0.29850746268656714,0.3162055335968379,0,0,0,0,0,0
111,1024,1,0.38043478260869523,0.3580246913580324,0.9683631361760661,0.05117270788912576,0.32411067193675885,0,0,0,0,0,0
112,13,0,0.36956521739129744,0.3580246913580324,0.45529573590096284,0.4989339019189765,0.3320158102766798,0,0,0,0,0,0
113,6713,2,0.38043478260869523,0.3703703703703737,0.45392022008253097,0.41364605543710026,0.3517786561264822,0,0,0,0,0,0
114,6714,2,0.38043478260869523,0.3580246913580324,0.43741403026134806,0.464818763326226,0.3636363636363636,0,0,0,0,0,0
115,1025,1,0.38043478260869523,0.3580246913580324,0.7042640990371392,0.1982942430703624,0.37549407114624506,0,0,0,0,0,0
116,1026,1,0.38043478260869523,0.3580246913580324,0.3617606602475929,0.5458422174840086,0.38339920948616596,0,0,0,0,0,0
117,1027,1,0.3913043478260788,0.3703703703703737,0.5447042640990372,0.29850746268656714,0.3913043478260869,0,0,0,0,0,0
118,1028,1,0.38043478260869523,0.3580246913580324,0.592847317744154,0.2750533049040511,0.3992094861660079,0,0,0,0,0,0
119,6715,2,0.38043478260869523,0.3580246913580324,0.7414030261348006,0.1705756929637527,0.40711462450592883,0,0,0,0,0,0
120,1029,1,0.36956521739129744,0.345679012345684,0.4112792297111416,0.43923240938166314,0.41897233201581024,0,0,0,0,0,0
121,1030,1,0.3913043478260788,0.3703703703703737,0.36451169188445665,0.5245202558635396,0.4268774703557312,0,0,0,0,0,0
122,1031,1,0.3913043478260788,0.3703703703703737,0.5364511691884455,0.4498933901918977,0.43478260869565216,0,0,0,0,0,0
123,1032,1,0.4021739130434766,0.3827160493827221,0.19532324621733155,0.652452025586354,0.4426877470355731,0,0,0,0,0,0
124,1033,1,0.3913043478260788,0.3703703703703737,0.5199449793672626,0.49680170575692967,0.450592885375494,0,0,0,0,0,0
125,1034,1,0.3913043478260788,0.3703703703703737,0.7689133425034389,0.1982942430703624,0.458498023715415,0,0,0,0,0,0
126,1035,1,0.3913043478260788,0.3580246913580324,0.5392022008253097,0.257995735607676,0.46640316205533594,0,0,0,0,0,0
127,1036,1,0.4021739130434766,0.3580246913580324,0.22145804676753778,0.8614072494669511,0.4743083003952569,0,0,0,0,0,0
128,1037,1,0.3913043478260788,0.3580246913580324,0.33700137551581855,0.5628997867803839,0.48221343873517786,0,0,0,0,0,0
129,1038,1,0.4021739130434766,0.3580246913580324,0.5763411279229711,0.39445628997867804,0.49011857707509876,0,0,0,0,0,0
130,1039,1,0.3913043478260788,0.345679012345684,0.5378266850068778,0.3027718550106609,0.4980237154150197,0,0,0,0,0,0
131,1040,1,0.38043478260869523,0.33333333333333565,0.4195323246217333,0.44776119402985076,0.5059288537549407,0,0,0,0,0,0
132,1041,1,0.38043478260869523,0.33333333333333565,0.7826685006877581,0.16204690831556506,0.5138339920948616,0,0,0,0,0,0
133,6716,2,0.36956521739129744,0.33333333333333565,0.37551581843191206,0.49253731343283585,0.5217391304347826,0,0,0,0,0,0
134,6717,2,0.36956521739129744,0.33333333333333565,0.36038514442916103,0.628997867803838,0.533596837944664,0,0,0,0,0,0
135,1042,1,0.38043478260869523,0.33333333333333565,0.2764786795048144,0.701492537313433,0.5454545454545454,0,0,0,0,0,0
136,6718,2,0.38043478260869523,0.345679012345684,0.7469050894085281,0.17910447761194032,0.5533596837944663,0,0,0,0,0,0
137,14,0,0.36956521739129744,0.345679012345684,0.34662998624484187,0.5458422174840086,0.5652173913043478,0,0,0,0,0,0
138,1043,1,0.36956521739129744,0.3580246913580324,0.17744154057771677,0.7505330490405117,0.5849802371541502,0,0,0,0,0,0
139,15,0,0.38043478260869523,0.3580246913580324,0.38651994497936726,0.624733475479744,0.592885375494071,0,0,0,0,0,0
140,1044,1,0.38043478260869523,0.3580246913580324,0.13755158184319116,0.7611940298507464,0.6126482213438734,0,0,0,0,0,0
141,1045,1,0.38043478260869523,0.3580246913580324,0.47180192572214574,0.3411513859275053,0.6205533596837944,0,0,0,0,0,0
142,1046,1,0.36956521739129744,0.345679012345684,0.5171939477303988,0.3219616204690832,0.6284584980237153,0,0,0,0,0,0
143,6719,2,0.35869565217391386,0.33333333333333565,0.8390646492434661,0.17270788912579954,0.6363636363636364,0,0,0,0,0,0
144,16,0,0.35869565217391386,0.33333333333333565,0.3287482806052271,0.6481876332622601,0.6482213438735177,0,0,0,0,0,0
145,6720,2,0.35869565217391386,0.33333333333333565,0.3067400275103165,0.4754797441364605,0.6679841897233201,0,0,0,0,0,0
146,1047,1,0.34782608695651607,0.33333333333333565,0.4745529573590095,0.28784648187633266,0.6798418972332015,0,0,0,0,0,0
147,17,0,0.34782608695651607,0.33333333333333565,0.6107290233837688,0.3411513859275053,0.6877470355731224,0,0,0,0,0,0
148,1048,1,0.3369565217391254,0.33333333333333565,0.4773039889958737,0.4264392324093817,0.7075098814229248,0,0,0,0,0,0
149,6721,2,0.3260869565217347,0.32098765432099435,0.29023383768913336,0.5948827292110875,0.7154150197628457,0,0,0,0,0,0
150,1049,1,0.3369565217391254,0.32098765432099435,0.4195323246217333,0.4221748400852878,0.7272727272727273,0,0,0,0,0,0
151,1050,1,0.3369565217391254,0.32098765432099435,0.3493810178817056,0.4818763326226014,0.7351778656126482,0,0,0,0,0,0
152,6722,2,0.3369565217391254,0.30864197530864595,0.4057771664374141,0.373134328358209,0.7430830039525691,0,0,0,0,0,0
153,6723,2,0.3369565217391254,0.30864197530864595,0.5722145804676755,0.4456289978678038,0.7549407114624506,0,0,0,0,0,0
154,1051,1,0.3369565217391254,0.30864197530864595,0.938101788170564,0.14712153518123666,0.7667984189723319,0,0,0,0,0,0
155,1052,1,0.3369565217391254,0.30864197530864595,0.49518569463548845,0.3432835820895523,0.7747035573122529,0,0,0,0,0,0
157,6724,2,0.3369565217391254,0.2962962962963046,0.44979367262723535,0.5522388059701493,0.8023715415019762,0,0,0,0,0,0
158,18,0,0.3369565217391254,0.30864197530864595,0.42640990371389265,0.4989339019189765,0.8142292490118577,0,0,0,0,0,0
159,6725,2,0.3369565217391254,0.30864197530864595,0.45529573590096284,0.42430703624733473,0.83399209486166,0,0,0,0,0,0
160,1053,1,0.3369565217391254,0.30864197530864595,0.41678129298486954,0.5735607675906184,0.8458498023715413,0,0,0,0,0,0
161,1054,1,0.3369565217391254,0.30864197530864595,0.15680880330123803,0.865671641791045,0.8537549407114624,0,0,0,1,0,1
162,1055,1,0.3260869565217347,0.2962962962963046,0.33562585969738645,0.6865671641791046,0.8616600790513833,0,0,0,1,0,1
163,1056,1,0.3260869565217347,0.2962962962963046,0.5749656121045392,0.3283582089552239,0.0,0,0,0,0,0,0
164,6726,2,0.3369565217391254,0.30864197530864595,0.4126547455295735,0.5053304904051172,0.007905138339920903,0,0,0,0,0,0
165,6727,2,0.34782608695651607,0.32098765432099435,0.3741403026134802,0.5010660980810235,0.01976284584980237,0,0,0,0,0,0
166,1057,1,0.34782608695651607,0.33333333333333565,0.7771664374140301,0.12579957356076754,0.031620553359683834,0,0,0,0,0,0
167,19,0,0.3369565217391254,0.30864197530864595,0.6107290233837688,0.2665245202558635,0.03952569169960474,0,0,0,0,0,0
168,20,0,0.3369565217391254,0.32098765432099435,0.3988995873452543,0.4861407249466951,0.059288537549407105,0,0,0,0,0,0
169,1058,1,0.3369565217391254,0.32098765432099435,0.36451169188445665,0.8997867803837953,0.07905138339920947,0,0,1,0,0,1
170,1059,1,0.3369565217391254,0.32098765432099435,0.20632737276478674,0.8315565031982944,0.08695652173913043,0,0,0,0,0,0
171,6728,2,0.3369565217391254,0.30864197530864595,0.607977991746905,0.3176972281449893,0.09486166007905145,0,0,0,0,0,0
172,1060,1,0.315217391304344,0.2962962962963046,0.40440165061898226,0.6545842217484009,0.1067193675889328,0,0,0,0,0,0
174,6729,2,0.315217391304344,0.2839506172839491,0.5818431911966986,0.2899786780383795,0.12648221343873517,0,0,0,0,0,0
175,1061,1,0.315217391304344,0.2962962962963046,0.18982118294360384,0.8144989339019191,0.13833992094861658,0,0,0,0,0,0
176,1062,1,0.315217391304344,0.2962962962963046,0.2943603851444292,0.4989339019189765,0.14624505928853754,0,0,0,0,0,0
177,1063,1,0.315217391304344,0.2962962962963046,0.6189821182943605,0.3113006396588486,0.1541501976284585,0,0,0,0,0,0
179,1064,1,0.315217391304344,0.30864197530864595,0.3686382393397525,0.6417910447761196,0.1699604743083004,0,0,0,0,0,0
180,1065,1,0.315217391304344,0.32098765432099435,0.1870701513067401,0.6332622601279317,0.17786561264822134,0,0,0,0,0,0
181,1066,1,0.315217391304344,0.32098765432099435,0.42228335625859703,0.6353944562899788,0.18577075098814227,0,0,0,0,0,0
182,21,0,0.315217391304344,0.32098765432099435,0.9023383768913344,0.08742004264392333,0.19367588932806323,0,0,0,0,0,0
183,6730,2,0.3043478260869534,0.30864197530864595,0.23933975240715277,0.5970149253731344,0.2134387351778656,0,0,0,0,0,0
184,1067,1,0.3043478260869534,0.30864197530864595,0.4360385144429162,0.43923240938166314,0.225296442687747,0,0,0,0,0,0
185,1068,1,0.315217391304344,0.30864197530864595,0.6863823933975239,0.22388059701492535,0.23320158102766797,0,0,0,0,0,0
186,1069,1,0.315217391304344,0.30864197530864595,0.38239339752407164,0.38592750533049053,0.24110671936758893,0,0,0,0,0,0
187,1070,1,0.3043478260869534,0.32098765432099435,0.18294360385144426,0.7654584221748401,0.24901185770750986,0,0,0,0,0,0
188,1071,1,0.315217391304344,0.33333333333333565,0.29023383768913336,0.490405117270789,0.2569169960474308,0,0,0,0,0,0
189,1072,1,0.3260869565217347,0.345679012345684,0.6024759284731775,0.28784648187633266,0.26482213438735175,0,0,0,0,0,0
190,6731,2,0.3260869565217347,0.33333333333333565,0.5103163686382395,0.49680170575692967,0.2727272727272727,0,0,0,0,0,0
191,1073,1,0.315217391304344,0.33333333333333565,0.4250343878954608,0.6353944562899788,0.2845849802371541,0,0,0,0,0,0
192,1074,1,0.315217391304344,0.33333333333333565,0.6850068775790921,0.3091684434968017,0.2924901185770751,0,0,0,0,0,0
193,22,0,0.315217391304344,0.33333333333333565,0.3163686382393398,0.6759061833688699,0.30039525691699603,0,0,0,0,0,0
194,23,0,0.315217391304344,0.33333333333333565,0.701513067400275,0.3091684434968017,0.3201581027667984,0,0,0,0,0,0
196,1075,1,0.3260869565217347,0.345679012345684,0.39202200825309497,0.4861407249466951,0.3517786561264822,0,0,0,0,0,0
197,24,0,0.3260869565217347,0.3580246913580324,0.3631361760660248,0.6268656716417912,0.35968379446640314,0,0,0,0,0,0
198,6732,2,0.3369565217391254,0.3580246913580324,0.4938101788170566,0.44349680170575695,0.3794466403162055,0,0,0,0,0,0
199,1076,1,0.3369565217391254,0.3703703703703737,0.577716643741403,0.3176972281449893,0.3913043478260869,0,0,0,0,0,0
200,1077,1,0.3369565217391254,0.3580246913580324,0.36451169188445665,0.5756929637526654,0.3992094861660079,0,0,0,0,0,0
201,1078,1,0.3369565217391254,0.3580246913580324,0.6066024759284732,0.3176972281449893,0.40711462450592883,0,0,0,0,0,0
202,1079,1,0.3260869565217347,0.345679012345684,0.5598349381017882,0.4498933901918977,0.4150197628458498,0,0,0,0,0,0
203,6733,2,0.3369565217391254,0.345679012345684,0.643741403026135,0.3326226012793178,0.4229249011857707,0,0,0,0,0,0
204,1080,1,0.3369565217391254,0.345679012345684,0.44291609353507555,0.37953091684434964,0.43478260869565216,0,0,0,0,0,0
205,1081,1,0.3369565217391254,0.345679012345684,0.7881705639614855,0.2707889125799573,0.4426877470355731,0,0,0,0,0,0
206,6734,2,0.34782608695651607,0.3580246913580324,0.24209078404401652,0.701492537313433,0.450592885375494,0,0,0,0,0,0
207,1082,1,0.34782608695651607,0.3703703703703737,0.6066024759284732,0.32409381663112996,0.4624505928853755,0,0,0,0,0,0
208,6735,2,0.3369565217391254,0.3703703703703737,0.34800550206327374,0.865671641791045,0.4703557312252964,0,0,1,0,0,1
209,1083,1,0.3369565217391254,0.3580246913580324,0.5818431911966986,0.3539445628997869,0.48221343873517786,0,0,0,0,0,0
210,1084,1,0.3369565217391254,0.3580246913580324,0.4250343878954608,0.5095948827292112,0.49011857707509876,0,0,0,0,0,0
211,1085,1,0.3369565217391254,0.3703703703703737,0.48830811554332865,0.3411513859275053,0.4980237154150197,0,0,0,0,0,0
212,1086,1,0.34782608695651607,0.3703703703703737,0.5598349381017882,0.2942430703624733,0.5059288537549407,0,0,0,0,0,0
213,25,0,0.3369565217391254,0.3703703703703737,0.24209078404401652,0.6993603411513859,0.5138339920948616,0,0,0,0,0,0
214,1087,1,0.3369565217391254,0.3703703703703737,0.2998624484181569,0.5287846481876333,0.533596837944664,0,0,0,0,0,0
215,6736,2,0.3260869565217347,0.3580246913580324,0.5790921595598348,0.3624733475479745,0.541501976284585,0,0,0,0,0,0
216,1088,1,0.3260869565217347,0.3580246913580324,0.5226960110041268,0.4307036247334754,0.5533596837944663,0,0,0,0,0,0
217,1089,1,0.3260869565217347,0.3580246913580324,0.45529573590096284,0.38805970149253727,0.5612648221343873,0,0,0,0,0,0
218,1090,1,0.3260869565217347,0.345679012345684,0.6822558459422283,0.24520255863539445,0.5691699604743082,0,0,0,0,0,0
219,1091,1,0.3260869565217347,0.3580246913580324,0.3837689133425035,0.38379530916844357,0.5770750988142292,0,0,0,0,0,0
220,6737,2,0.3260869565217347,0.345679012345684,0.3658872077028885,0.5565031982942432,0.5849802371541502,0,0,0,0,0,0
221,1092,1,0.3260869565217347,0.345679012345684,0.34112792297111416,0.6950959488272922,0.5968379446640316,0,0,0,0,0,0
